"number","opened_at","caller_id","short_description","priority","state","assignment_group","assigned_to","sys_updated_on","close_notes"
"INC0158459","2025-06-27 14:41:33","Rey Mandapat","Routing issues","5 - Planning","In Progress","CDNA Stratogent","Nandan Nk (C)","2025-07-01 16:09:40",""
"INC0158194","2025-06-25 12:12:21","SolarWinds ","CareDx||SolarWinds Alerts Not Fetching Properly into ServiceNow","3 - Moderate","In Progress","CDNA Stratogent","Anushree V (C)","2025-07-01 17:09:53",""
"INC0158236","2025-06-25 20:43:00","SolarWinds ","Alert for Stockholm - New DHCP server detected","3 - Moderate","In Progress","CDNA Stratogent","Somanth Krishnamurthy (C)","2025-06-25 20:45:31",""
"INC0158400","2025-06-27 08:59:47","Druva Cloud Admin","CareDx || Multiple [Druva Hybrid Workloads] Backup Job Skipped","3 - Moderate","On Hold","CDNA Stratogent","Saubhadra Badajena (C)","2025-07-01 20:31:52",""
"INC0157148","2025-06-13 11:55:57","Guna Sekhar (C)","Test Caredx access for all Caredx resources after removing O365 License","4 - Low","On Hold","CDNA Stratogent","Logesh Ramamoorthy (C)","2025-06-18 02:12:12",""
"INC0158038","2025-06-24 08:09:06","Guna Sekhar (C)","Check SMTP relay server requests","3 - Moderate","On Hold","CDNA Stratogent","Pompa Reddy (C)","2025-07-01 20:23:04",""
"INC0158466","2025-06-27 17:03:19","SolarWinds ","Critical : Open : volume 'sto-galaxyrs-C:\ Label: BC99C53E ' on Node 'sto-galaxyrs' is in 'Unknown ' stateAn issue on an object you are monitoring occurred at","3 - Moderate","On Hold","CDNA Stratogent","Chikkanti Mahesh (C)","2025-06-28 21:08:02",""
"INC0158352","2025-06-26 20:49:56","Druva Cloud Admin","[Druva Hybrid Workloads] Backup Job Skipped for STO-PRD-DC02","3 - Moderate","On Hold","CDNA Stratogent","Saubhadra Badajena (C)","2025-07-01 20:33:33",""
"INC0158405","2025-06-27 09:32:08","SolarWinds ","Critical: Open - Application ""SSL Certificate"" on ""STO-VCENTER01"" is currently CriticalThe application SSL Certificate on STO-VCENTER01 (10.100.100.230) is cu","3 - Moderate","Resolved","CDNA Stratogent","Varunsimha M P (C)","2025-07-02 02:05:18","The application is ""up and running fine,"" and the component HTTPS monitor is ""up"". Additionally, we have received the recovery alert further no issues were found, hence closing this incident."
"INC0158683","2025-06-30 19:56:01","Microsoft Azure NoReply","Azure: Activated Severity: 0 Percentage_CPU_dev-bio-stat01","3 - Moderate","Resolved","CDNA Stratogent","Pompa Reddy (C)","2025-07-01 17:11:39","Upon verifying from the Azure portal and server end CPU usage is below threshold 18.63%. further we have received recovery alert from the Azure. Further no actions required hence moving ticket to closure.
"
"INC0158531","2025-06-30 05:30:36","Microsoft Azure NoReply","Azure: Activated Severity: 0 Available Memory Bytes - prd-it-tools","3 - Moderate","Resolved","CDNA Stratogent","Puneeth Nagaraj (C)","2025-07-01 02:12:24","Upon validating, we could see that the usage has dropped down, and also the alert is cleared. Hence closing the ticket."
"INC0158021","2025-06-23 22:14:03","SolarWinds ","Critical: ALERT: LockBoxFTP rebooted at 6/23/2025 10:11:00 PM","3 - Moderate","Resolved","CDNA Stratogent","Pasapula Dinesh (C)","2025-07-01 22:17:40","LockboxFTP is in ignore list. the server will be rebooted daily.

As, we received cleared alert from solarwinds.

Moving the ticket to closure.
"
"INC0158505","2025-06-29 23:16:09","SolarWinds ","Critical: Open - Application ""SSL Certificate Expiration Date"" on ""xq-prod.caredx.com"" is currently Down","3 - Moderate","Resolved","CDNA Stratogent","Anbalagan Dayananth (C)","2025-06-30 05:06:01","Hello Team,

Chris informed that this is managed through Key Manager. Please ignore this alert. Hence marking this ticket to resolved state."
"INC0158515","2025-06-30 02:23:13","Sanju Choubey (C)","CareDx ||  IT KPI  data on P1, Server Uptime, Ticket, CRs for June 2025","3 - Moderate","Resolved","CDNA Stratogent","Puneeth Nagaraj (C)","2025-07-02 01:29:14","Shared the IT KPI data on P1, Server Uptime, Ticket, CRs for June 2025 as requested.
Hence closing the ticket.
"
"INC0158516","2025-06-30 02:25:07","Sanju Choubey (C)","CareDx || IT KPI  data for Network Uptime report for June 2025.","3 - Moderate","Resolved","CDNA Stratogent","Somanth Krishnamurthy (C)","2025-07-01 04:15:51","Hi Team,
Attaching the Network devices Uptime for the June month, hence closing the ticket.

Regards,
Ravi Kiran"
"INC0158518","2025-06-30 03:22:24","SolarWinds ","Critical: Open: ALERT: Current packet loss for ttp-la-sdn-ecxs-01 is 50 %.Average Response time is 93 ms and is varying from 91 ms to 97 ms.","3 - Moderate","Resolved","CDNA Stratogent Network","Ravi Kiran (C)","2025-07-01 00:22:20","We are able to ping the node with 0% packet loss, also node is up in SolarWinds,

As we received closure alert from SolarWinds, hence marking the ticket to closure"
"INC0158519","2025-06-30 03:23:46","SolarWinds ","Critical : Open : Node ""ttp-la-sdn-ecxs-01"" IP ""10.98.98.98"" is ""Down""  Alert description: Node ""ttp-la-sdn-ecxs-01""  IP ""10.98.98.98""  is DownAlert Genera","3 - Moderate","Resolved","CDNA Stratogent Network","Ravi Kiran (C)","2025-07-01 00:26:01","We are able to ping the node with 0% packet loss, also node is up in SolarWinds,

As we received closure alert from SolarWinds, hence marking the ticket to closure"
"INC0158574","2025-06-30 07:09:14","Swaroop MS (C)","CareDx || Please review and update the DNS 1 and 2 entries for the Diane VM.","3 - Moderate","Resolved","CDNA Stratogent","Swaroop MS (C)","2025-06-30 09:23:50","Hello Team,

As checked, already DNS 1 and 2 are pointing to Primary - 10.100.100.12 - sto-prd-dc02.

Secondary - 10.50.134.4 - azwe-prd-dc01

No further action required.

Hence marking this as closure.

Thanks,

Swaroop MS"
"INC0158572","2025-06-30 07:07:27","Swaroop MS (C)","CareDx || Please review and update the DNS 1 and 2 entries for the STO-Phoenix server","3 - Moderate","Resolved","CDNA Stratogent","Swaroop MS (C)","2025-06-30 09:12:18","Hi Team,

We have successfully updated the DNS settings for the STO-Phoenix server.

No further action is needed.

Hence marking this as closure.

Thanks,
Swaroop MS"
"INC0158568","2025-06-30 06:50:02","Swaroop MS (C)","Caredx | Druva Backup | Proxy disconnects","3 - Moderate","Resolved","CDNA Stratogent","Swaroop MS (C)","2025-06-30 11:39:08","We have noticed backups are in a queued state due to proxy disconnection disconnected and these proxy servers (backup_proxy_Ubuntu,sto-phoenix01) are hosted in Sweden location, post updated the DNS pointing to Primary – 10.100.100.12 (sto-prd-dc02) ,Secondary – 10.50.134.4 (azwe-prd-dc01).The proxy backup pool sto-phoenix01 is back to online and Backup jobs are started initializing. 
However, we are not able to update the DNS settings to back up_proxy_Ubuntu as password is not working. 

No further action is needed.

Hence marking this ticket as closure.

"
"INC0158527","2025-06-30 04:03:42","SolarWinds ","Testing mail","5 - Planning","Resolved","CDNA Stratogent","Sudheesh Balakrishna (C)","2025-06-30 04:10:47","The mentioned tickets were created for testing service alerts and SolarWinds ticket generation. Currently, we are experiencing an issue where blank tickets are being generated.

Reference: INC0158194

As there is already an active ticket open for this issue, we are closing this duplicate ticket."
